,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
589,589,2192A,119.7594,49.2261,区环保局,呼伦贝尔,36.46,29.61,22.95,17.45,17.94,18.97,18.19,19.59
590,590,2195A,107.4212,40.761,附二中,巴彦淖尔,48.02,44.71,36.13,34.39,35.25,35.98,31.61,30.53
591,591,2197A,113.1306,40.9923,集宁新区,乌兰察布,42.37,31.74,25.75,23.09,22.09,21.42,24.89,21.42
592,592,2201A,121.9504,46.0741,科右前旗环保局,兴安盟,31.68,26.05,16.09,18.01,21.74,22.8,22.99,24.25
593,593,2202A,116.1042,43.9317,市环保监测站,锡林郭勒盟,17.92,17.1,14.69,15.69,10.39,9.73,11.36,7.71
594,594,2204A,105.6467,38.8363,西城区西花园(对照点),阿拉善盟,39.54,33.05,32.83,34.85,24.45,24.32,27.32,23.89
595,595,2205A,105.6985,38.8411,蒙二幼,阿拉善盟,33.15,34.41,37.74,40.56,29.97,27.01,30.5,28.33
596,596,2206A,105.724,38.8516,环保局新楼,阿拉善盟,40.64,28.93,33.11,32.45,25.35,22.78,27.79,24.86
597,597,2207A,121.6094,41.998,工业园区,阜新,51.48,47.48,42.58,39.91,39.59,38.96,38.16,32.32
598,598,2208A,121.6697,42.0279,长青街,阜新,48.88,42.71,42.49,36.35,37.3,36.72,33.24,28.47
599,599,2209A,121.6673,42.0705,农业园区,阜新,42.8,35.96,33.4,31.71,32.13,32.05,32.08,27.24
600,600,2210A,121.6717,42.0224,东苑,阜新,54.13,50.03,44.83,42.37,43.37,41.8,40.2,31.5
601,601,2211A,121.6506,42.0498,玉龙新城,阜新,46.4,43.89,40.29,35.65,35.23,33.05,31.23,26.88
602,602,2212A,123.2,41.1953,宏伟区,辽阳,61.99,47.25,39.59,32.17,35.0,34.27,31.8,26.0
603,603,2213A,123.1683,41.2495,新华园,辽阳,54.22,47.27,47.93,39.44,43.44,41.83,37.81,34.86
604,604,2214A,123.2354,41.2639,滨河路,辽阳,65.67,48.45,45.26,38.31,40.57,41.54,37.25,36.03
605,605,2215A,123.149,41.2991,铁西工业园,辽阳,57.62,45.42,55.78,44.52,47.71,46.47,42.46,41.23
606,606,2216A,123.8139,42.3022,汇工街西,铁岭,53.72,52.83,53.11,41.34,44.32,42.53,38.35,35.14
607,607,2218A,123.8486,42.2867,银州路东段,铁岭,58.29,48.52,49.64,38.05,39.39,37.08,34.24,31.43
608,608,2219A,123.7153,42.2217,金沙江路北,铁岭,56.4,46.48,49.25,39.36,41.5,40.98,34.13,30.06
609,609,2220A,120.4318,41.5881,西梁,朝阳,44.89,45.27,48.2,43.9,40.85,37.13,33.4,29.09
610,610,2221A,120.4521,41.5646,河畔小区,朝阳,38.56,36.23,39.42,36.06,34.1,33.87,30.48,25.96
611,611,2222A,120.4176,41.5648,八里堡,朝阳,47.31,41.34,45.96,39.27,38.01,37.17,34.24,27.33
612,612,2223A,120.3806,41.5969,农业园区,朝阳,40.88,34.4,37.66,38.07,35.29,34.48,30.58,26.35
613,613,2225A,124.4002,43.1713,一商场,四平,68.16,49.79,52.84,42.24,37.19,31.55,26.29,27.37
614,614,2226A,124.388,43.193,境园,四平,60.05,43.53,41.09,32.91,34.4,33.49,26.72,24.91
615,615,2227A,125.1358,42.8845,环保局,辽源,55.62,45.93,45.24,35.26,38.87,41.51,32.41,31.9
616,616,2229A,125.9358,41.7173,光明,通化,44.44,39.64,34.74,27.9,28.04,26.44,22.68,21.56
617,617,2230A,125.9446,41.7325,铁路,通化,55.89,43.45,35.56,28.41,30.45,27.57,24.2,22.18
618,618,2231A,126.4219,41.9171,喜丰,白山,55.9,51.62,47.89,32.27,28.12,27.14,24.44,22.09
619,619,2232A,126.4077,41.9419,环保局,白山,50.92,46.68,40.12,30.33,31.16,27.98,26.06,24.02
620,620,2236A,122.8738,45.5725,市环保局,白城,56.65,45.95,29.17,24.7,26.99,24.56,22.9,22.55
621,621,2237A,129.47,42.8883,妇幼医院,延边朝鲜族自治州,35.89,29.64,29.96,26.39,25.04,20.82,20.43,17.76
622,622,2239A,129.3964,42.8881,朝阳川镇医院,延边朝鲜族自治州,35.01,29.6,27.82,24.35,22.79,17.7,17.87,15.09
